year,month, iw_all-items_n_00 , iw_bidi_n_00 , iw_cig_n_00 , iw_bidi_r_00 , iw_cig_r_00 , alrl_all-items_n_00 , alrl_bidi_n_00 , alrl_cig_n_00 , alrl_bidi_r_00 , alrl_cig_r_00 ,wpi_all-items_n_00,wpi_bidi_n_00,wpi_cig_n_00,wpi_bidi_r_00,wpi_cig_r_00
2000,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2000,2,99.77,100.94,100.34,101.18,100.58,99.67,100.6,100.47,100.93,100.8,100.34,100,100,99.66,99.66
2000,3,100.7,101.29,100.91,100.59,100.22,99.67,101.04,102.7,101.37,103.04,102.47,100,102.9,97.59,100.42
2000,4,101.62,101.4,102.81,99.78,101.17,100,101.05,105.47,101.05,105.47,103.98,99.94,103.37,96.12,99.41
2000,5,102.09,102.8,103.16,100.7,101.05,100.98,102.11,105.9,101.12,104.88,104.04,99.88,103.37,95.99,99.35
2000,6,102.55,103.28,103.55,100.71,100.98,100.98,102.4,106.5,101.4,105.47,104.66,99.88,103.77,95.43,99.15
2000,7,103.25,103.75,104.74,100.48,101.44,100.98,103.3,107.81,102.3,106.77,104.93,107.68,104.93,102.62,100
2000,8,102.78,105.23,105.3,102.38,102.45,100.33,103.81,108.08,103.48,107.73,105.14,107.68,105.22,102.42,100.08
2000,9,103.02,105.46,105.45,102.37,102.37,99.67,104.23,109.35,104.57,109.7,106.03,110.18,106.09,103.91,100.06
2000,10,104.18,105.48,105.93,101.25,101.68,99.35,104.13,110.65,104.82,111.38,108.22,110.81,106.04,102.38,97.98
2000,11,104.41,105.73,105.92,101.27,101.45,99.67,104.51,111.57,104.85,111.94,108.43,110.81,106.91,102.19,98.59
2000,12,103.48,105.27,107.03,101.73,103.43,98.7,104.87,113.99,106.25,115.49,108.64,110.81,109.46,102,100.76
2001,1,103.25,105.39,107.28,102.08,103.91,98.05,105.3,115.11,107.4,117.4,108.7,110.81,109.58,101.93,100.8
2001,2,102.78,105.54,107.76,102.68,104.84,97.39,105.32,116.59,108.13,119.71,108.7,110.81,110.04,101.93,101.23
2001,3,103.25,105.8,108.37,102.47,104.96,97.72,105.91,118.65,108.39,121.42,109.05,110.62,123.1,101.44,112.89
2001,4,103.94,106.34,109.19,102.31,105.05,98.05,107.04,120.96,109.17,123.37,109.6,111.24,123.1,101.5,112.32
2001,5,104.64,106.86,109.71,102.12,104.84,98.7,107.86,121.91,109.29,123.52,109.87,111.24,123.1,101.25,112.04
2001,6,106.03,107.28,110.1,101.17,103.83,99.67,108.45,122.91,108.81,123.31,110.21,111.24,123.1,100.94,111.69
2001,7,107.42,107.74,110.71,100.3,103.06,100.65,108.67,122.75,107.97,121.96,110.42,111.31,123.1,100.8,111.48
2001,8,108.12,108.25,111.37,100.12,103,101.63,108.88,123.11,107.13,121.13,110.83,111.31,123.1,100.43,111.07
2001,9,107.89,108.8,112.06,100.84,103.87,101.3,108.95,124.21,107.54,122.61,110.83,111.31,123.1,100.43,111.07
2001,10,108.58,109.38,112.8,100.73,103.88,101.95,109.23,124.63,107.14,122.25,111.38,110.56,123.1,99.26,110.52
2001,11,109.51,109.98,113.56,100.43,103.69,101.95,109.53,125.08,107.43,122.68,111.24,108.31,123.1,97.36,110.66
2001,12,108.82,110.61,114.35,101.65,105.08,101.63,109.87,125.69,108.11,123.68,110.9,108.31,123.1,97.66,111
2002,1,108.35,111.36,115.15,102.78,106.28,100.33,110.64,126.91,110.28,126.5,110.35,110.12,123.1,99.79,111.55
