year_f,qr_fiscal,year_c,qr_yr,mths,gdp_r,bidi_r, cig_r ,bidi_a,cig_a,,,,,,,
1999/00,4,2000,1,jan-mar, 100.0 , 100.00 , 100.00 , 100.00 , 100.00 ,,,,,,,
2000/01,1,2000,2,apr-jun, 99.5 , 99.81 , 100.80 , 100.27 , 101.27 ,,,,,,,
2000/01,2,2000,3,jul-sep, 100.3 , 101.15 , 101.82 , 100.88 , 101.55 ,,,,,,,
2000/01,3,2000,4,oct-dec, 99.7 , 100.82 , 101.92 , 101.09 , 102.19 ,,,,,,,
2000/01,4,2001,1,jan-mar, 99.7 , 101.81 , 104.30 , 102.10 , 104.59 ,,,,,,,
2001/02,1,2001,2,apr-jun, 101.2 , 101.27 , 104.30 , 100.05 , 103.04 ,,,,,,,
2001/02,2,2001,3,jul-sep, 101.9 , 99.83 , 103.04 , 97.98 , 101.12 ,,,,,,,
2001/02,3,2001,4,oct-dec, 103.6 , 100.34 , 103.94 , 96.82 , 100.29 ,,,,,,,
2001/02,4,2002,1,jan-mar, 103.9 , 102.79 , 106.76 , 98.95 , 102.77 ,,,,,,,
2002/03,1,2002,2,apr-jun, 103.9 , 103.49 , 107.87 , 99.57 , 103.79 ,,,,,,,
2002/03,2,2002,3,jul-sep, 104.0 , 102.97 , 108.08 , 99.05 , 103.96 ,,,,,,,
2002/03,3,2002,4,oct-dec, 103.5 , 103.92 , 109.78 , 100.45 , 106.11 ,,,,,,,
2002/03,4,2003,1,jan-mar, 105.2 , 105.90 , 112.50 , 100.68 , 106.95 ,,,,,,,
2003/04,1,2003,2,apr-jun, 107.2 , 105.10 , 111.77 , 98.00 , 104.22 ,,,,,,,
2003/04,2,2003,3,jul-sep, 109.5 , 105.37 , 111.80 , 96.27 , 102.14 ,,,,,,,
2003/04,3,2003,4,oct-dec, 112.4 , 105.57 , 111.72 , 93.90 , 99.37 ,,,,,,,
2003/04,4,2004,1,jan-mar, 112.2 , 105.63 , 111.76 , 94.13 , 99.60 ,,,,,,,
2004/05,1,2004,2,apr-jun, 114.1 , 105.28 , 111.08 , 92.29 , 97.38 ,,,,,,,
2004/05,2,2004,3,jul-sep, 116.1 , 103.67 , 108.61 , 89.27 , 93.53 ,,,,,,,
2004/05,3,2004,4,oct-dec, 118.0 , 103.32 , 108.03 , 87.59 , 91.58 ,,,,,,,
2004/05,4,2005,1,jan-mar, 119.5 , 103.04 , 108.10 , 86.21 , 90.45 ,,,,,,,
2005/06,1,2005,2,apr-jun, 122.4 , 102.94 , 109.17 , 84.10 , 89.19 ,,,,,,,
2005/06,2,2005,3,jul-sep, 123.5 , 100.91 , 107.71 , 81.74 , 87.25 ,,,,,,,
2005/06,3,2005,4,oct-dec, 125.9 , 99.83 , 106.13 , 79.28 , 84.28 ,,,,,,,
2005/06,4,2006,1,jan-mar, 128.4 , 96.78 , 107.87 , 75.36 , 84.00 ,,,,,,,
2006/07,1,2006,2,apr-jun, 129.5 , 96.27 , 106.77 , 74.36 , 82.47 ,,,,,,,
2006/07,2,2006,3,jul-sep, 132.9 , 95.86 , 105.46 , 72.12 , 79.35 ,,,,,,,
2006/07,3,2006,4,oct-dec, 135.4 , 95.80 , 107.79 , 70.78 , 79.63 ,,,,,,,
2006/07,4,2007,1,jan-mar, 137.7 , 96.99 , 109.49 , 70.46 , 79.54 ,,,,,,,
2007/08,1,2007,2,apr-jun, 139.9 , 102.80 , 129.21 , 73.48 , 92.36 ,,,,,,,
2007/08,2,2007,3,jul-sep, 141.4 , 104.01 , 128.96 , 73.56 , 91.21 ,,,,,,,
