state,stateid,centre,centreid,year,month,item,item_code,unit,cpi,price
TAMIL NADU,33,Ciombatore,334124,2017,10,bidi,1330,25,iw,20
TAMIL NADU,33,Ciombatore,334124,2017,11,bidi,1330,25,iw,20
TAMIL NADU,33,Ciombatore,334124,2017,12,bidi,1330,25,iw,20
TAMIL NADU,33,Ciombatore,334124,2018,1,bidi,1330,25,iw,20
TAMIL NADU,33,Ciombatore,334124,2018,2,bidi,1330,25,iw,20
TAMIL NADU,33,Ciombatore,334124,2018,3,bidi,1330,25,iw,20
TAMIL NADU,33,Ciombatore,334124,2017,6,bidi,1330,25,iw,18
TAMIL NADU,33,Ciombatore,334124,2017,7,bidi,1330,25,iw,18
TAMIL NADU,33,Ciombatore,334124,2017,8,bidi,1330,25,iw,18
TAMIL NADU,33,Ciombatore,334124,2017,9,bidi,1330,25,iw,18
TAMIL NADU,33,Ciombatore,334124,2016,11,bidi,1330,25,iw,17
TAMIL NADU,33,Ciombatore,334124,2016,12,bidi,1330,25,iw,17
TAMIL NADU,33,Ciombatore,334124,2017,1,bidi,1330,25,iw,17
TAMIL NADU,33,Ciombatore,334124,2017,2,bidi,1330,25,iw,17
TAMIL NADU,33,Ciombatore,334124,2017,3,bidi,1330,25,iw,17
TAMIL NADU,33,Ciombatore,334124,2017,4,bidi,1330,25,iw,17
TAMIL NADU,33,Ciombatore,334124,2017,5,bidi,1330,25,iw,17
TAMIL NADU,33,Ciombatore,334124,2016,5,bidi,1330,25,iw,16
TAMIL NADU,33,Ciombatore,334124,2016,6,bidi,1330,25,iw,16
TAMIL NADU,33,Ciombatore,334124,2016,7,bidi,1330,25,iw,16
TAMIL NADU,33,Ciombatore,334124,2016,8,bidi,1330,25,iw,16
TAMIL NADU,33,Ciombatore,334124,2016,9,bidi,1330,25,iw,16
TAMIL NADU,33,Ciombatore,334124,2016,10,bidi,1330,25,iw,16
TAMIL NADU,33,Ciombatore,334124,2014,9,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2014,10,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2014,11,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2014,12,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,1,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,2,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,3,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,4,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,5,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,6,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,7,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,8,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,9,bidi,1330,25,iw,15
TAMIL NADU,33,Ciombatore,334124,2015,10,bidi,1330,25,iw,15
